"Million Plus Cities","Cause category","Outcome of Incident",TotalCount
Jabalpur,"Traffic Control","Total number of Accidents",3226
Jabalpur,Junction,"Total number of Accidents",3226
Jabalpur,"Traffic Violation","Total number of Accidents",3226
Jabalpur,"Road Features","Total number of Accidents",3226
Jabalpur,"Impacting Vehicle/Object","Total number of Accidents",3226
Jabalpur,Weather,"Total number of Accidents",3226
